id,sku,name,brand_name,category_name,price,sale_price,in_stock,inventory,brand_id,category_id,description,photos_count,gender,parent_category_id,parent_category_name
f8838c1b-6365-4624-800e-c8a05b0dd684,91144231D7,Поло,Boss,Поло,1799.00,,True,"{""M"": {""stock"": 1}, ""XL"": {""stock"": 1}, ""XS"": {""stock"": 1}, ""2XL"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,f9b6ddb5-5467-407b-b014-cd8c893c254b,"Цвет: Белый
Материал: 92% Хлопок 8% Эластан
Производство: Бангладеш",3,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
deb4c7e8-9f19-4b83-8073-ba660375be3f,E7DE220F5C,Футболка,Boss,Футболки,1249.00,,True,"{""M"": {""stock"": 1}, ""S"": {""stock"": 1}, ""XL"": {""stock"": 1}, ""XS"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,d7bc2edb-4b47-4eaf-aa08-22b1b5465710,"Цвет: Белый
Материал: 93% Полиэстер 7% Эластан
Производитель: Вьетнам",4,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
81a17b80-fa3d-4cf9-b05f-a5e67f6138d4,5A8324AA1E,Кеды,Tommy Hilfiger,Кеды,1449.00,1449.00,True,"{""EU40/US7"": {""stock"": 6}, ""EU41/US8"": {""stock"": 5}, ""EU42/US9"": {""stock"": 1}, ""EU43/US10"": {""stock"": 6}, ""EU44/US11"": {""stock"": 5}, ""EU45/US12"": {""stock"": 1}}",c9af705b-393c-4653-98a0-02d3729ce0de,10075a2b-2f29-4a05-8dc9-bba2315ada5a,"Войдите в мир эталонной спортивной изысканности с этими мужскими кроссовками Tommy Hilfiger. Идеальное сочетание стиля и комфорта: каждая пара выполнена в элегантном голубом оттенке с выразительными белыми акцентами. Эти шнурованные спортивные кеды обладают съемной стелькой для настраиваемого комфорта и украшены культовым логотипом Tommy Hilfiger, позволяя заявлять о себе с каждым шагом. Благодаря тщательно подобранному сочетанию материалов, обеспечивающему долговечность и воздухопроницаемость, эти кеды являются неотъемлемым атрибутом для современного мужчины, следящего за трендами.",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
634018fd-aecc-4584-9357-4110ad674d3a,D9FB412D11,Поло,Boss,Поло,1599.00,,True,"{""L"": {""stock"": 3}, ""M"": {""stock"": 2}, ""S"": {""stock"": 2}, ""XL"": {""stock"": 2}, ""XXL"": {""stock"": 3}}",764a471c-65a4-4880-b79e-7c603113e0f8,f9b6ddb5-5467-407b-b014-cd8c893c254b,"Дополните свой гардероб изысканным поло BOSS в неподвластном времени дизайне, созданном специально для современного мужчины. Это поло с коротким рукавом, украшенное тонким, но эффектным принтом и культовым логотипом BOSS, является смелым воплощением элегантности и стиля. Классическая посадка на двух пуговицах обеспечивает комфорт и универсальность для любого случая.",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
b707df04-ff97-4ca1-aead-b09aa2eb4742,6D2CCC1096,Спортивные штаны,Boss,Спортивные штаны,2199.00,1999.00,True,"{""L"": {""stock"": 1}, ""XL"": {""stock"": 1}, ""2XL"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,4991f495-5164-48b5-8806-bf9359e6a0e4,"Цвет: Синий
Материал: 99% Полиэстер 1% Эластан
Производство: Турция",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
aa60bcb0-5d0e-4c0b-9cbc-c0f1a8788137,4991216FAF,Ветровка,Boss,Куртки и ветровки,2499.00,1999.00,True,"{""L"": {""stock"": 1}, ""XL"": {""stock"": 1}, ""2XL"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,68fba46a-2b8f-4170-b327-1981b69a36ec,"Цвет: Темно-синий
Материал: 99% Полиэстер 1% Эластан
Производство: Турция",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
bca1ba95-80ca-4a2c-83d1-d5f0d45e1b79,CDF9537350,Бейсболка,Boss,Бейсболки,1049.00,,True,"{""single_option"": {""stock"": 4}}",764a471c-65a4-4880-b79e-7c603113e0f8,a78132b3-cdc8-40b2-baf0-40ffc0ff5b1a,"Стильная мужская кепка BOSS с классическим дизайном и белым контрастным логотипом. Изготовлена из 100% высококачественной хлопковой саржи с нанесенной окантовкой и удобной застежкой на металлическую пряжку. Идеально подходит для повседневных образов.

Цвет: тёмно-синий
Материал: 100% хлопок
Производитель: Бангладеш",3,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
0aecad6c-016e-431d-b794-199fab3d8c31,927D45C7AE,Ветровка,Boss,Куртки и ветровки,2499.00,1999.00,True,"{""L"": {""stock"": 1}, ""M"": {""stock"": 1}, ""S"": {""stock"": 1}, ""XL"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,68fba46a-2b8f-4170-b327-1981b69a36ec,"Цвет: Черный
Материал: 99% Полиэстер 1% Эластан
Производство: Турция",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
1f3876b5-01fc-4673-9521-df2e7a75693b,AB1FFC6543,Спортивные штаны,Boss,Спортивные штаны,2199.00,1999.00,True,"{""L"": {""stock"": 1}, ""M"": {""stock"": 1}, ""S"": {""stock"": 1}, ""XL"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,4991f495-5164-48b5-8806-bf9359e6a0e4,"Цвет: Черный
Материал: 99% Полиэстер 1% Эластан
Производство: Турция",5,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
f43f1c14-c7c7-4829-bdc5-631d5d4f1d98,43627A62D1,Кроссовки,Boss,Кроссовки,2499.00,,True,"{""EU39"": {""stock"": 2}, ""EU41"": {""stock"": 2}}",764a471c-65a4-4880-b79e-7c603113e0f8,5ec34b73-af50-4039-a72f-343d72c5fdc5,"Цвет: Черный
Состав: 100% Натуральная кожа
Производитель: Вьетнам",4,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
dc7a6c2e-ee4d-4744-8b02-8240d8ab5467,C3825CE880,Бейсболка,Boss,Бейсболки,1049.00,,True,"{""single_option"": {""stock"": 7}}",764a471c-65a4-4880-b79e-7c603113e0f8,a78132b3-cdc8-40b2-baf0-40ffc0ff5b1a,"Окунитесь в мир высококлассного стиля с кепкой BOSS с регулируемым козырьком, в которой функциональность сочетается с культовым стилем бренда. Этот элегантный аксессуар не просто защищает от солнца, но и подчеркивает изысканность благодаря яркой вышивке и классическому логотипу, который ни с чем не спутаешь. Созданный с предельным вниманием к деталям, он представляет собой идеальное сочетание комфорта и роскоши.

Цвет: черный
Состав: 100% хлопок
Производство: Индия",3,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
be0d75e2-b65f-48fe-b5ee-713b03399110,0D3DE27C92,Кроссовки,Boss,Кроссовки,2499.00,,True,"{""EU40"": {""stock"": 1}, ""EU41"": {""stock"": 1}, ""EU43"": {""stock"": 1}}",764a471c-65a4-4880-b79e-7c603113e0f8,5ec34b73-af50-4039-a72f-343d72c5fdc5,Country of Origin: Vietnam,4,men,ef2742b3-35e9-4216-950a-c8d6d16c33b5,Одежда и обувь
